latitude,longitude,value
34.26054,-85.32333,8.8
38.0133,-87.5772,6.4
46.425598,-117.059799,13.7
45.863899,-122.410889,2.1
38.508114,-82.659301,6.5
43.58925,-119.048302,8.5
46.002399,-112.500893,13.8
61.5989,-149.106216,0.2
49.18639,-123.15222,17.5
49.24528,-122.70889,13.5
50.674702,-120.3339,18.9
41.0604,-81.9239,13
44.2921,-121.5555,5.6
38.65643,-90.18977,10.5
48.95224,-57.92207,6.6
39.922516,-75.186783,NA
34.243889,-113.558611,4
41.726811,-81.242156,7.9
42.8698,-109.8708,2.1
36.209286,-121.126371,7.8
40.571259,-105.079765,4.9
47.672501,-117.364899,16.5
43.682556,-114.371094,1.3
37.743061,-122.169907,10
47.663963,-117.257652,7.1
48.294399,-122.660004,2.2
46.375431,-120.729317,4.1
39.150478,-123.206528,12.6
58.388889,-134.565556,7.8
49.260799,-124.805603,12.6
36.141875,-115.078742,16.3
42.862531,-71.38014,5.9
41.656944,-85.96833,NA
48.39999,-119.518959,27.7
53.1325,-117.09111,NA
54.216473,-111.50264,4.6
42.692131,-90.696373,9.1
47.098991,-55.198521,3.5
39.934446,-75.125291,3.6
48.52059,-122.61428,10.4
34.3561,-77.8617,NA
39.21494,-84.69086,11.1
44.0263,-123.08377,7.8
40.8142,-79.565,11.8
40.246992,-76.846988,7.5
40.6119,-75.4325,7.6
41.6447,-76.9392,4.1
33.7397,-81.8536,7
29.514999,-98.620003,10.2
29.7708,-95.0311,19.4
29.7339,-95.2575,21.3
38.5231,-78.4347,5.1
40.3414,-111.7136,7.8
42.5047,-87.8111,10.4
45.2039,-90.6,9.2
46.0481,-89.6536,10.1
40.5169,-88.9975,11.9
38.7703,-99.7636,9.4
39.8344,-75.7678,7.2
33.4033,-112.0731,4.5
37.0481,-122.074603,13.1
42.974461,-81.200858,9.2
39.047911,-94.450513,6.2
42.065119,-71.012686,6.4
39.991389,-75.080833,4.7
42.565089,-114.494717,6.7
42.605816,-72.596689,6.4
43.7995,-123.0535,10.4
45.64336,-122.58737,8.7
48.317507,-107.862471,9.7
40.496408,-112.036305,4.4
21.133894,-101.68025,20.3
40.464722,-109.56083,5.7
36.6324,-120.3822,4.8
61.205861,-149.8246,2.6
39.146025,-84.538375,18.2
44.219867,-76.521128,4.1
47.597222,-122.319722,18.4
40.11109,-83.065376,11.4
46.4783,-63.9869,1.5
45.0892,-67.0786,5
33.3311,-87.0036,8.3
35.1967,-90.1911,3.7
36.819199,-119.7164,7.9
34.066429,-118.226755,20.8
38.937801,-121.103897,5.4
38.613804,-121.368007,NA
38.56844,-121.49311,15
37.4828,-122.2022,12.8
38.3525,-121.9617,7.2
34.2775,-118.6847,8.2
45.2536,-66.0803,5.4
46.0419,-72.66,6
33.4124,-111.9347,5.8
34.756100000000004,-92.2758,6
37.687526,-121.784217,11.1
39.32756,-121.66881,10.3
37.9383,-122.025,9.4
39.411743,-123.352661,16.4
39.234402,-121.055603,5.5
38.53455,-121.7734,7.5
40.812558,-96.675733,1.1
31.6531,-97.0706,9.5
38.2183,-121.77,12.7
34.632999,-98.428802,11.1
19.2065,-155.4689,4.5
38.848,-104.8286,5.5
34.2143,-79.7673,7
43.600699,-116.347853,3.6
44.3958,-122.7305,7
40.301899,-121.235001,NA
37.8148,-122.282402,16.1
40.897999,-111.885498,7
46.0588,-118.3514,12.9
27.0892,-82.3625,7.4
42.189215,-120.353969,2.8
39.399841,-119.739606,6.7
51.0814,-114.1403,5.7
53.37,-115.1906,8.3
44.476101,-73.210297,7
29.7639,-90.7653,8.9
45.931301,-116.115196,9.2
41.171398,-73.195297,9
41.3011,-72.9028,7.4
37.3667,-118.4167,9.4
48.641899,-102.402199,4.1
35.2006,-101.9083,9
46.8511,-95.8467,8.1
47.7889,-116.8044,5.9
35.4511,-84.5992,7.6
50.45,-104.6169,9.7
43.2266,-123.36479,13.4
28.704607,-100.451155,11
45.602419,-121.203387,11.8
30.4397,-84.3483,8.8
33.7206,-84.3578,6.8
21.310301,-157.858093,4.5
38.611893,-90.160614,12.3
37.7808,-87.0756,9.3
32.5364,-93.7492,6.1
30.4622,-91.1769,7.8
39.701099,-75.860001,5.6
39.114399,-77.106903,2.6
39.2981,-76.604698,2.1
42.9533,-82.4564,8.1
30.377501,-88.533897,NA
37.256069,-93.299692,11.2
35.2411,-80.7831,7.1
45.768531,-122.7721,3.9
40.515,-78.3889,11.6
41.215,-80.485,19.5
40.3053,-79.5061,10
32.941002,-79.656998,NA
36.2975,-86.6525,9.7
41.7847,-72.6297,4.6
30.4758,-81.5869,13.9
38.1761,-89.7883,8.5
41.094965,-85.101816,13.3
38.065,-84.5,11.5
30.315,-90.8114,9.3
39.305199,-75.797203,5.6
44.3106,-84.891899,9.9
40.641441,-74.208366,4.1
41.063526,-81.468956,22.8
40.8114,-77.8769,11.3
39.8356,-75.3725,8.3
41.4428,-75.6231,8
40.1469,-79.9033,18.3
40.771,-84.0539,12.8
48.465401,-122.559998,1.8
48.366058,-124.610046,2.9
42.930569,-87.932106,10.6
35.408138,-94.524414,7.5
27.172459,-80.240692,5.7
35.04676,-120.58777,5.5
40.086941,-108.761002,10.8
50.285833,-107.81689,13.1
31.322779,-89.287498,7.5
32.690277,-114.614441,12
36.785378,-119.773206,11.2
44.348604,-96.807299,5.4
30.62673,-81.53597,12.7
47.5212,-92.5393,11.5
41.771444,-72.679923,5
44.647,-63.574,3.4
46.3864,-62.5828,3.6
29.423933,-98.580505,14.4
47.6094,-65.6333,4.9
47.3386,-116.885902,9.9
32.791,-79.959,7.8
19.5097,-155.9133,3.4
34.955601,-81.924797,9.3
38.2286,-85.6544,13.7
44.9636,-67.060799,0.8
40.603943,-74.276176,5.9
46.6588,-112.0131,43.2
35.25639,-120.668892,4.6
49.15833,-122.90167,6.9
51.047611,-114.075165,5.2
31.66752,-106.28774,8.9
30.18,-93.8731,11.1
44.528389,-72.868973,4.2
38.771702,-77.108902,5.2
37.285599,-79.884201,8.4
48.950699,-122.554398,5.9
43.1008,-89.3572,8.9
45.6819,-62.6953,NA
32.6706,-94.1681,9.4
46.2889,-85.9503,5.6
49.21528,-122.98556,3.7
49.09556,-122.56694,4.1
41.840302,-71.361702,6.2
35.6322,-83.9422,5.9
35.9386,-84.5439,9
25.8925,-97.4936,8.5
40.733501,-111.871696,6.7
44.3069,-88.3956,10.8
39.52507,-119.807744,3.7
32.7592,-97.3414,17.7
43.608528,-72.98246,5.8
61.534163,-149.031655,2.2
42.93257,-87.93434,13.9
40.481349,-86.109718,NA
39.166,-120.1488,0
37.793624,-122.263376,17.3
47.048537,-109.455315,3.3
35.213171,-80.874084,10.9
48.1671,-118.974748,NA
48.29696,-118.20242,3.2
44.373786,-100.287269,4.4
20.518317,-100.81591,7.1
39.144804,-119.766409,6.8
35.151588,-89.85022,5.7
49.682499,-124.996101,8.9
40.734722,-122.941109,6.2
38.5876,-76.1408,4.7
39.76161,-121.84048,NA
36.1994,-120.0991,4
41.4014,-91.0684,15.4
38.739213,-108.073118,15.9
39.015,-122.286111,4.7
41.705226,-76.512726,9.2
33.3961,-111.968,8.9
39.143197,-76.846192,NA
47.3553,-68.3211,9.3
39.533889,-122.190833,7.8
38.23158,-85.82675,14.9
32.579361,-116.929486,35.6
39.758235,-84.197375,5.7
45.440295,-105.37028,5.9
46.842297,-114.020549,8.9
41.5503,-73.0442,7.5
40.970001,-95.044998,3.1
44.798859,-68.769676,6.2
40.800717,-81.373,15.3
48.129101,-122.7789,8.1
46.408501,-116.991402,8.8
41.7547,-87.7136,13.8
49.2008,-123.9939,7.7
39.7386,-104.9394,8.9
45.496641,-122.602877,4.5
46.7245,-117.1801,2.3
47.5309,-122.3208,14.1
56.7328,-111.39,7.1
58.7083,-111.1764,3.3
36.694261,-121.623271,9
43.1403,-80.2961,NA
46.5331,-84.3094,3.4
39.5339,-105.07,7.9
36.163962,-115.11393,13.1
44.78822,-117.8446,4.3
42.290094,-123.2321,6.1
42.0603,-87.8631,9.2
41.833099,-73.303299,3.6
41.206402,-111.975197,8.5
31.870253,-102.334756,7.7
47.1864,-122.4517,14.8
47.6997,-117.4263,8.7
27.5994,-99.5333,8.6
44.9594,-93.0356,6.8
43.58031,-116.562676,6.9
45.178699,-113.892998,12.2
45.2108,-93.6686,4.3
39.7394,-75.5581,6.2
41.7714,-88.1522,9.6
49.8611,-119.475,9.8
54.0558,-128.6739,6.3
50.2333,-119.2833,17.1
42.3075,-83.15,21.1
41.6031,-93.643303,11.6
43.0178,-87.9333,4.1
38.346258,-81.621161,8.4
45.502648,-73.663913,NA
20.450916,-101.528686,11.6
21.017676,-101.25751700000001,18.5
